date,close price,AVGO_SHE,AVGO_TA,AVGO_TL,market cap,PB Ratio
2009-08-06,16.18,,,,,
2009-08-07,16.43,,,,,
2009-08-10,15.97,,,,,
2009-08-11,15.67,,,,,
2009-08-12,16.0,,,,,
2009-08-13,16.55,,,,,
2009-08-14,16.6,,,,,
2009-08-17,16.22,,,,,
2009-08-18,17.07,,,,,
2009-08-19,17.89,,,,,
2009-08-20,17.76,,,,,
2009-08-21,17.82,,,,,
2009-08-24,17.5,,,,,
2009-08-25,17.85,,,,,
2009-08-26,17.85,,,,,
2009-08-27,18.16,,,,,
2009-08-28,18.47,,,,,
2009-08-31,18.2,,,,,
2009-09-01,17.85,,,,,
2009-09-02,17.68,,,,,
2009-09-03,17.45,,,,,
2009-09-04,17.76,,,,,
2009-09-08,17.7,,,,,
2009-09-09,17.26,,,,,
2009-09-10,17.05,,,,,
2009-09-11,16.88,,,,,
2009-09-14,16.65,,,,,
2009-09-15,17.18,,,,,
2009-09-16,17.58,,,,,
2009-09-17,16.64,,,,,
2009-09-18,16.2,,,,,
2009-09-21,16.61,,,,,
2009-09-22,17.25,,,,,
2009-09-23,17.4,,,,,
2009-09-24,17.49,,,,,
2009-09-25,17.13,,,,,
2009-09-28,17.65,,,,,
2009-09-29,17.03,,,,,
2009-09-30,17.07,,,,,
2009-10-01,16.31,,,,,
2009-10-02,16.09,,,,,
2009-10-05,16.49,,,,,
2009-10-06,16.47,,,,,
2009-10-07,16.13,,,,,
2009-10-08,16.01,,,,,
2009-10-09,16.25,,,,,
2009-10-12,16.34,,,,,
2009-10-13,16.53,,,,,
2009-10-14,16.86,,,,,
2009-10-15,17.16,,,,,
2009-10-16,16.43,,,,,
2009-10-19,16.24,,,,,
2009-10-20,16.53,,,,,
2009-10-21,16.49,,,,,
2009-10-22,16.28,,,,,
2009-10-23,16.05,,,,,
2009-10-26,15.84,,,,,
2009-10-27,15.45,,,,,
2009-10-28,14.93,,,,,
2009-10-29,15.04,,,,,
2009-10-30,15.0,,,,,
2009-11-02,14.87,,,,,
2009-11-03,14.49,,,,,
2009-11-04,14.78,,,,,
2009-11-05,15.32,,,,,
2009-11-06,15.29,,,,,
2009-11-09,15.66,,,,,
2009-11-10,15.45,,,,,
2009-11-11,15.36,,,,,
2009-11-12,15.6,,,,,
2009-11-13,15.58,,,,,
2009-11-16,16.01,,,,,
2009-11-17,16.07,,,,,
2009-11-18,16.03,,,,,
2009-11-19,15.57,,,,,
