date,close price,WMB_SHE,WMB_TA,WMB_TL,market cap,PB Ratio
1989-09-19,5.19,,,,,
1989-09-20,5.21,,,,,
1989-09-21,5.27,,,,,
1989-09-22,5.25,,,,,
1989-09-25,5.16,,,,,
1989-09-26,5.07,,,,,
1989-09-27,5.11,,,,,
1989-09-28,5.14,,,,,
1989-09-29,5.21,,,,,
1989-10-02,5.19,,,,,
1989-10-03,5.19,,,,,
1989-10-04,5.36,,,,,
1989-10-05,5.32,,,,,
1989-10-06,5.47,,,,,
1989-10-09,5.55,,,,,
1989-10-10,5.41,,,,,
1989-10-11,5.25,,,,,
1989-10-12,5.3,,,,,
1989-10-13,4.8,,,,,
1989-10-16,4.9,,,,,
1989-10-17,4.94,,,,,
1989-10-18,5.07,,,,,
1989-10-19,5.1,,,,,
1989-10-20,5.11,,,,,
1989-10-23,5.04,,,,,
1989-10-24,5.0,,,,,
1989-10-25,4.99,,,,,
1989-10-26,4.96,,,,,
1989-10-27,4.96,,,,,
1989-10-30,4.93,,,,,
1989-10-31,5.02,,,,,
1989-11-01,4.99,,,,,
1989-11-02,5.0,,,,,
1989-11-03,4.86,,,,,
1989-11-06,4.83,,,,,
1989-11-07,4.82,,,,,
1989-11-08,4.82,,,,,
1989-11-09,4.77,,,,,
1989-11-10,4.66,,,,,
1989-11-13,4.63,,,,,
1989-11-14,4.63,,,,,
1989-11-15,4.66,,,,,
1989-11-16,4.66,,,,,
1989-11-17,4.66,,,,,
1989-11-20,4.61,,,,,
1989-11-21,4.52,,,,,
1989-11-22,4.52,,,,,
1989-11-24,4.61,,,,,
1989-11-27,4.65,,,,,
1989-11-28,4.6,,,,,
1989-11-29,4.68,,,,,
1989-11-30,4.82,,,,,
1989-12-01,4.85,,,,,
1989-12-04,4.9,,,,,
1989-12-05,4.82,,,,,
1989-12-06,4.88,,,,,
1989-12-07,4.88,,,,,
1989-12-08,4.97,,,,,
1989-12-11,4.93,,,,,
1989-12-12,4.97,,,,,
1989-12-13,4.86,,,,,
1989-12-14,4.82,,,,,
1989-12-15,4.77,,,,,
1989-12-18,4.76,,,,,
1989-12-19,4.74,,,,,
1989-12-20,4.74,,,,,
1989-12-21,4.82,,,,,
1989-12-22,4.83,,,,,
1989-12-26,4.83,,,,,
1989-12-27,4.83,,,,,
1989-12-28,4.79,,,,,
1989-12-29,4.82,,,,,
1990-01-02,4.96,,,,,
1990-01-03,5.07,,,,,
1990-01-04,4.91,,,,,
